library,title,year,imdb_id,imdb_rating,imdb_votes,rt_score,plex_rating,file,decision,reason,misidentified_hint
Animación 2D,Tarzán,1999,,,,,9.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Tarzán (1999).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Tiana y el sapo,2009,,,,,8.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Tiana y el sapo (2009).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Tod y Toby,1981,,,,,7.5,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Tod y Toby (1981).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Tod y Toby 2,2006,,,,,2.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Tod y Toby 2 (2006).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Winnie the Pooh,2011,,,,,9.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Winnie the Pooh (2011).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Angry Birds: La película,2016,,,,,,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Angry Birds la película (2016) .mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Anomalisa,2015,,,,,9.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Anomalisa (2015).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,"Ant Bully, bienvenido al hormiguero",2006,,,,,6.1,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Ant Bully Bienvenido Al Hormiguero (2006).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Antz (Hormigaz),1998,,,,,9.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Antz (Hormigaz) (1998).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Arthur Christmas: Operación regalo,2011,,,,,9.3,"/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Arthur Christmas, Operación Regalo (2011).mkv",UNKNOWN,no_ratings_and_few_votes,no_external_data
